frame,time,pc,value
5880,101.504873840000,56e3,800000
5880,101.504916600000,570b,ff0000
5880,101.504959120000,5727,0
5881,101.522113720000,56e3,800000
5881,101.522156480000,570b,ff0000
5881,101.522199040000,5727,0
5882,101.539381040000,56e3,800000
5882,101.539423920000,570b,ff0000
5882,101.539466400000,5727,0
5883,101.556639320000,56e3,800000
5883,101.556682080000,570b,ff0000
5883,101.556724560000,5727,0
5884,101.573906480000,56e3,800000
5884,101.573949280000,570b,ff0000
5884,101.573991800000,5727,0
5885,101.591164720000,56e3,800000
5885,101.591207480000,570b,ff0000
5885,101.591249960000,5727,0
5886,101.608431840000,56e3,800000
5886,101.608474640000,570b,ff0000
5886,101.608517160000,5727,0
5887,101.625690080000,56e3,800000
5887,101.625732840000,570b,ff0000
5887,101.625775360000,5727,0
5888,101.642957400000,56e3,800000
5888,101.643000200000,570b,ff0000
5888,101.643042720000,5727,0
5889,101.660215600000,56e3,800000
5889,101.660258360000,570b,ff0000
5889,101.660300840000,5727,0
5890,101.677482760000,56e3,800000
5890,101.677525560000,570b,ff0000
5890,101.677568080000,5727,0
5891,101.694740960000,56e3,800000
5891,101.694783720000,570b,ff0000
5891,101.694826200000,5727,0
5892,101.712008360000,56e3,800000
5892,101.712051160000,570b,ff0000
5892,101.712093680000,5727,0
5893,101.729266400000,56e3,800000
5893,101.729309160000,570b,ff0000
5893,101.729351640000,5727,0
5894,101.746533680000,56e3,800000
5894,101.746576480000,570b,ff0000
5894,101.746619000000,5727,0
5895,101.763791840000,56e3,800000
5895,101.763834720000,570b,ff0000
5895,101.763877280000,5727,0
5896,101.781059080000,56e3,800000
5896,101.781101880000,570b,ff0000
5896,101.781144400000,5727,0
5897,101.798317320000,56e3,800000
5897,101.798360080000,570b,ff0000
5897,101.798402560000,5727,0
5898,101.815584600000,56e3,800000
5898,101.815627400000,570b,ff0000
5898,101.815669920000,5727,0
5899,101.832842760000,56e3,800000
5899,101.832885520000,570b,ff0000
5899,101.832928000000,5727,0
5900,101.850110080000,56e3,800000
5900,101.850152880000,570b,ff0000
5900,101.850195400000,5727,0
5901,101.867368240000,56e3,800000
5901,101.867411000000,570b,ff0000
5901,101.867453480000,5727,0
5902,101.884635480000,56e3,800000
5902,101.884678280000,570b,ff0000
5902,101.884720800000,5727,0
5903,101.901893640000,56e3,800000
5903,101.901936400000,570b,ff0000
5903,101.901978960000,5727,0
5904,101.919160800000,56e3,800000
5904,101.919203600000,570b,ff0000
5904,101.919246120000,5727,0
5905,101.936419040000,56e3,800000
5905,101.936461800000,570b,ff0000
5905,101.936504320000,5727,0
5906,101.953686240000,56e3,800000
5906,101.953729040000,570b,ff0000
5906,101.953771560000,5727,0
5907,101.970944600000,56e3,800000
5907,101.970987360000,570b,ff0000
5907,101.971029880000,5727,0
5908,101.988211760000,56e3,800000
5908,101.988254560000,570b,ff0000
5908,101.988297080000,5727,0
5909,102.005469920000,56e3,800000
5909,102.005512680000,570b,ff0000
5909,102.005555160000,5727,0
5910,102.022737160000,56e3,800000
5910,102.022779960000,570b,ff0000
5910,102.022822480000,5727,0
5911,102.039995400000,56e3,800000
5911,102.040038160000,570b,ff0000
5911,102.040080640000,5727,0
5912,102.057262720000,56e3,800000
5912,102.057305520000,570b,ff0000
5912,102.057348040000,5727,0
5913,102.074520840000,56e3,800000
5913,102.074563600000,570b,ff0000
5913,102.074606160000,5727,0
5914,102.091788040000,56e3,800000
5914,102.091830840000,570b,ff0000
5914,102.091873360000,5727,0
5915,102.109046200000,56e3,800000
5915,102.109088960000,570b,ff0000
5915,102.109131440000,5727,0
5916,102.126313520000,56e3,800000
5916,102.126356320000,570b,ff0000
5916,102.126398840000,5727,0
5917,102.143571720000,56e3,800000
5917,102.143614480000,570b,ff0000
5917,102.143656960000,5727,0
5918,102.160839080000,56e3,800000
5918,102.160881880000,570b,ff0000
5918,102.160924400000,5727,0
5919,102.178097160000,56e3,800000
5919,102.178139960000,570b,ff0000
5919,102.178182440000,5727,0
5920,102.195364320000,56e3,800000
5920,102.195407080000,570b,ff0000
5920,102.195449600000,5727,0
5921,102.212622600000,56e3,800000
5921,102.212665360000,570b,ff0000
5921,102.212707960000,5727,0
5922,102.229889800000,56e3,800000
5922,102.229932600000,570b,ff0000
5922,102.229975120000,5727,0
5923,102.247148040000,56e3,800000
5923,102.247190800000,570b,ff0000
5923,102.247233360000,5727,0
5924,102.264415280000,56e3,800000
5924,102.264458040000,570b,ff0000
5924,102.264500560000,5727,0
5925,102.281673480000,56e3,800000
5925,102.281716360000,570b,ff0000
5925,102.281758840000,5727,0
5926,102.298940760000,56e3,800000
5926,102.298983560000,570b,ff0000
5926,102.299026080000,5727,0
5927,102.316198840000,56e3,800000
5927,102.316241600000,570b,ff0000
5927,102.316284120000,5727,0
5928,102.333466280000,56e3,800000
5928,102.333509080000,570b,ff0000
5928,102.333551600000,5727,0
5929,102.350724400000,56e3,800000
5929,102.350767160000,570b,ff0000
5929,102.350809640000,5727,0
5930,102.367991520000,56e3,800000
5930,102.368034320000,570b,ff0000
5930,102.368076840000,5727,0
5931,102.385249800000,56e3,800000
5931,102.385292560000,570b,ff0000
5931,102.385335040000,5727,0
5932,102.402517000000,56e3,800000
5932,102.402559800000,570b,ff0000
5932,102.402602320000,5727,0
5933,102.419775280000,56e3,800000
5933,102.419818160000,570b,ff0000
5933,102.419860680000,5727,0
5934,102.437042480000,56e3,800000
5934,102.437085280000,570b,ff0000
5934,102.437127800000,5727,0
5935,102.454300560000,56e3,800000
5935,102.454343320000,570b,ff0000
5935,102.454385800000,5727,0
5936,102.471567920000,56e3,800000
5936,102.471610720000,570b,ff0000
5936,102.471653240000,5727,0
5937,102.488844440000,56e3,800000
5937,102.488887200000,570b,ff0000
5937,102.488929720000,5727,0
5938,102.506093360000,56e3,800000
5938,102.506136160000,570b,ff0000
5938,102.506178680000,5727,0
5939,102.523351480000,56e3,800000
5939,102.523394240000,570b,ff0000
5939,102.523436840000,5727,0
5940,102.540618800000,56e3,800000
5940,102.540661600000,570b,ff0000
5940,102.540704120000,5727,0
5941,102.557876920000,56e3,800000
5941,102.557919800000,570b,ff0000
5941,102.557962320000,5727,0
5942,102.575144360000,56e3,800000
5942,102.575187160000,570b,ff0000
5942,102.575229680000,5727,0
5943,102.592402360000,56e3,800000
5943,102.592445120000,570b,ff0000
5943,102.592487600000,5727,0
5944,102.609669680000,56e3,800000
5944,102.609712480000,570b,ff0000
5944,102.609755000000,5727,0
