frame,x,y,z,m0,m1,m2,m3,m4,m5,m6,m7,m8
5880,12a55906,0e4551e7,13543fc8,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5881,12a55906,0e4551e7,13543fc8,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5882,12a4f7f2,0e4551e7,13544f28,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5883,12a4f7f2,0e4551e7,13544f28,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5884,12a496b4,0e4551e7,13545e8f,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5885,12a496b4,0e4551e7,13545e8f,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5886,12a4354d,0e4551e7,13546dfc,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5887,12a4354d,0e4551e7,13546dfc,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5888,12a3d3be,0e4551e7,13547d70,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5889,12a3d3be,0e4551e7,13547d70,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5890,12a37207,0e4551e7,13548cea,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5891,12a37207,0e4551e7,13548cea,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5892,12a31029,0e4551e7,13549c6a,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5893,12a31029,0e4551e7,13549c6a,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5894,12a2ae24,0e4551e7,1354abf0,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5895,12a2ae24,0e4551e7,1354abf0,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5896,12a24bf9,0e4551e7,1354bb7c,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5897,12a24bf9,0e4551e7,1354bb7c,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5898,12a1e9a9,0e4551e7,1354cb0e,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5899,12a1e9a9,0e4551e7,1354cb0e,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5900,12a18734,0e4551e7,1354daa6,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5901,12a18734,0e4551e7,1354daa6,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5902,12a1249b,0e4551e7,1354ea44,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5903,12a1249b,0e4551e7,1354ea44,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
