frame,time,pc,value
5880,101.504873840000,56e3,800000
5880,101.504916600000,570b,ff0000
5880,101.504959120000,5727,0
5881,101.522113720000,56e3,800000
5881,101.522156480000,570b,ff0000
5881,101.522199040000,5727,0
5882,101.539381040000,56e3,800000
5882,101.539423920000,570b,ff0000
5882,101.539466400000,5727,0
5883,101.556639320000,56e3,800000
5883,101.556682080000,570b,ff0000
5883,101.556724560000,5727,0
5884,101.573906480000,56e3,800000
5884,101.573949280000,570b,ff0000
5884,101.573991800000,5727,0
5885,101.591164720000,56e3,800000
5885,101.591207480000,570b,ff0000
5885,101.591249960000,5727,0
5886,101.608431840000,56e3,800000
5886,101.608474640000,570b,ff0000
5886,101.608517160000,5727,0
5887,101.625690080000,56e3,800000
5887,101.625732840000,570b,ff0000
5887,101.625775360000,5727,0
5888,101.642957400000,56e3,800000
5888,101.643000200000,570b,ff0000
5888,101.643042720000,5727,0
5889,101.660215600000,56e3,800000
5889,101.660258360000,570b,ff0000
5889,101.660300840000,5727,0
5890,101.677482760000,56e3,800000
5890,101.677525560000,570b,ff0000
5890,101.677568080000,5727,0
5891,101.694740960000,56e3,800000
5891,101.694783720000,570b,ff0000
5891,101.694826200000,5727,0
5892,101.712008360000,56e3,800000
5892,101.712051160000,570b,ff0000
5892,101.712093680000,5727,0
5893,101.729266400000,56e3,800000
5893,101.729309160000,570b,ff0000
5893,101.729351640000,5727,0
5894,101.746533680000,56e3,800000
5894,101.746576480000,570b,ff0000
5894,101.746619000000,5727,0
5895,101.763791840000,56e3,800000
5895,101.763834720000,570b,ff0000
5895,101.763877280000,5727,0
5896,101.781059080000,56e3,800000
5896,101.781101880000,570b,ff0000
5896,101.781144400000,5727,0
5897,101.798317320000,56e3,800000
5897,101.798360080000,570b,ff0000
5897,101.798402560000,5727,0
5898,101.815584600000,56e3,800000
5898,101.815627400000,570b,ff0000
5898,101.815669920000,5727,0
5899,101.832842760000,56e3,800000
5899,101.832885520000,570b,ff0000
5899,101.832928000000,5727,0
5900,101.850110080000,56e3,800000
5900,101.850152880000,570b,ff0000
5900,101.850195400000,5727,0
5901,101.867368240000,56e3,800000
5901,101.867411000000,570b,ff0000
5901,101.867453480000,5727,0
5902,101.884635480000,56e3,800000
5902,101.884678280000,570b,ff0000
5902,101.884720800000,5727,0
5903,101.901893640000,56e3,800000
5903,101.901936400000,570b,ff0000
5903,101.901978960000,5727,0
5904,101.919160800000,56e3,800000
5904,101.919203600000,570b,ff0000
5904,101.919246120000,5727,0
5905,101.936419040000,56e3,800000
5905,101.936461800000,570b,ff0000
5905,101.936504320000,5727,0
5906,101.953686240000,56e3,800000
5906,101.953729040000,570b,ff0000
5906,101.953771560000,5727,0
5907,101.970944560000,56e3,800000
5907,101.970987320000,570b,ff0000
5907,101.971029800000,5727,0
5908,101.988206120000,56e3,800000
5908,101.988248880000,570b,ff0000
5908,101.988291360000,5727,0
5909,102.005475840000,56e3,800000
5909,102.005518600000,570b,ff0000
5909,102.005561080000,5727,0
5910,102.022731200000,56e3,800000
5910,102.022773960000,570b,ff0000
5910,102.022816440000,5727,0
5911,102.040001240000,56e3,800000
5911,102.040044080000,570b,ff0000
5911,102.040086560000,5727,0
5912,102.057256720000,56e3,800000
5912,102.057299480000,570b,ff0000
5912,102.057341960000,5727,0
5913,102.074526840000,56e3,800000
5913,102.074569600000,570b,ff0000
5913,102.074612080000,5727,0
5914,102.091782040000,56e3,800000
5914,102.091824800000,570b,ff0000
5914,102.091867280000,5727,0
5915,102.109052240000,56e3,800000
5915,102.109095000000,570b,ff0000
5915,102.109137480000,5727,0
5916,102.126307480000,56e3,800000
5916,102.126350240000,570b,ff0000
5916,102.126392840000,5727,0
5917,102.143577640000,56e3,800000
5917,102.143620400000,570b,ff0000
5917,102.143662880000,5727,0
5918,102.160832920000,56e3,800000
5918,102.160875680000,570b,ff0000
5918,102.160918280000,5727,0
5919,102.178103120000,56e3,800000
5919,102.178145880000,570b,ff0000
5919,102.178188440000,5727,0
5920,102.195358360000,56e3,800000
5920,102.195401240000,570b,ff0000
5920,102.195443720000,5727,0
5921,102.212628680000,56e3,800000
5921,102.212671440000,570b,ff0000
5921,102.212713920000,5727,0
5922,102.229883920000,56e3,800000
5922,102.229926760000,570b,ff0000
5922,102.229969240000,5727,0
5923,102.247153960000,56e3,800000
5923,102.247196720000,570b,ff0000
5923,102.247239200000,5727,0
5924,102.264409280000,56e3,800000
5924,102.264452040000,570b,ff0000
5924,102.264494520000,5727,0
5925,102.281679480000,56e3,800000
5925,102.281722240000,570b,ff0000
5925,102.281764720000,5727,0
5926,102.298934760000,56e3,800000
5926,102.298977520000,570b,ff0000
5926,102.299020080000,5727,0
5927,102.316204880000,56e3,800000
5927,102.316247640000,570b,ff0000
5927,102.316290120000,5727,0
5928,102.333460160000,56e3,800000
5928,102.333502920000,570b,ff0000
5928,102.333545400000,5727,0
5929,102.350730280000,56e3,800000
5929,102.350773040000,570b,ff0000
5929,102.350815520000,5727,0
5930,102.367985680000,56e3,800000
5930,102.368028440000,570b,ff0000
5930,102.368070920000,5727,0
5931,102.385255680000,56e3,800000
5931,102.385298440000,570b,ff0000
5931,102.385340920000,5727,0
5932,102.402511000000,56e3,800000
5932,102.402553760000,570b,ff0000
5932,102.402596240000,5727,0
5933,102.419781240000,56e3,800000
5933,102.419824000000,570b,ff0000
5933,102.419866480000,5727,0
5934,102.437036440000,56e3,800000
5934,102.437079200000,570b,ff0000
5934,102.437121680000,5727,0
5935,102.454306640000,56e3,800000
5935,102.454349400000,570b,ff0000
5935,102.454391880000,5727,0
5936,102.471562000000,56e3,800000
5936,102.471604760000,570b,ff0000
5936,102.471647240000,5727,0
5937,102.488850440000,56e3,800000
5937,102.488893200000,570b,ff0000
5937,102.488935720000,5727,0
5938,102.506087360000,56e3,800000
5938,102.506130120000,570b,ff0000
5938,102.506172600000,5727,0
5939,102.523357400000,56e3,800000
5939,102.523400240000,570b,ff0000
5939,102.523442720000,5727,0
5940,102.540612840000,56e3,800000
5940,102.540655600000,570b,ff0000
5940,102.540698080000,5727,0
5941,102.557882960000,56e3,800000
5941,102.557925840000,570b,ff0000
5941,102.557968440000,5727,0
5942,102.575138320000,56e3,800000
5942,102.575181080000,570b,ff0000
5942,102.575223560000,5727,0
5943,102.592408360000,56e3,800000
5943,102.592451120000,570b,ff0000
5943,102.592493600000,5727,0
5944,102.609663800000,56e3,800000
5944,102.609706560000,570b,ff0000
5944,102.609749040000,5727,0
