frame,cpu_frame,cpu_time,device_time,scene,scene_frame,scene_time,multiplier,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,bounds,culled_bounds
3501,3501,61.293801432720,61.293805532720,2112,3501,61.293717199387,3,1283,10295,5245,709b9ab48aa78f0a,1112.700,4893.300,2347.100,0.900,0,0,0
3502,3502,61.311303899387,61.311307999387,2113,3502,61.311219666054,3,1282,10286,5226,0f6dedcdbbcd9370,939.500,4764.000,2345.600,0.500,0,0,0
3503,3503,61.328806699387,61.328810799387,2114,3503,61.328722466053,3,1280,10275,5215,a59c4464fae39112,935.400,4802.400,2308.800,0.600,0,0,0
3504,3504,61.346308866053,61.346312966053,2115,3504,61.346224632720,3,1278,10263,5186,b9a92b1fa12875bc,938.800,4527.000,2281.300,1.000,0,0,0
3505,3505,61.363814566053,61.363818666053,2116,3505,61.363727166053,3,1277,10249,5159,d545e6865d592837,951.500,4576.200,2288.200,0.500,0,0,0
3506,3506,61.381320932720,61.381325032720,2117,3506,61.381229532720,3,1275,10245,5144,e70fd24ce3fefa98,948.100,4592.100,2326.500,1.300,0,0,0
3507,3507,61.398823466053,61.398827566053,2118,3507,61.398732066053,3,1271,10226,5123,d6a110fad4409412,960.400,4527.200,2270.000,0.700,0,0,0
3508,3508,61.416327966052,61.416332066053,2119,3508,61.416234566053,3,1268,10210,5101,706e75e269c113c3,944.500,4362.500,2276.500,0.800,0,0,0
3509,3509,61.433830332719,61.433834432719,2120,3509,61.433736932719,3,1266,10197,5076,bcb8d42e795df399,991.600,4494.300,2263.400,0.700,0,0,0
3510,3510,61.451334932719,61.451339032719,2121,3510,61.451239532719,3,1264,10184,5052,a5ce8dc7e7295bf9,937.000,4384.600,2260.200,0.600,0,0,0
3512,3512,61.486341832718,61.486345932718,2122,3512,61.486244432718,3,1257,10124,4997,001b2381623d89d8,952.500,4514.000,2269.900,1.000,0,0,0
3513,3513,61.503844366052,61.503848466052,2123,3513,61.503746966052,3,1253,10107,4968,3bf0d59272b407e2,949.900,4476.800,2258.000,0.700,0,0,0
3514,3514,61.521346732718,61.521350832718,2124,3514,61.521249332718,3,1249,10087,4942,f26231d72095e1f0,922.900,4335.100,2239.200,0.500,0,0,0
3515,3515,61.538846932718,61.538851032718,2125,3515,61.538751866051,3,1121,8972,3814,4c2b331c406711fa,948.300,4067.700,1994.300,0.700,0,0,0
