run,frame,host_seconds,emulated_seconds
written-nogl3,3501,61.301385000,61.276151841924
written-nogl3,5000,90.272514900,87.512356243822
written-nogl3,5100,92.272675300,89.262603368698
written-nogl3,5990,110.571443300,104.839802780099
cached5072-off,3501,61.307537100,61.276151841924
cached5072-off,5000,90.180944700,87.512356243822
cached5072-off,5100,92.785430700,89.262603368698
cached5072-off,5990,110.996386500,104.839802780099
cached5072-both,3501,61.502848000,61.276151841924
cached5072-both,5000,89.084978400,87.512356243822
cached5072-both,5100,91.451471400,89.262603368698
cached5072-both,5990,108.911469000,104.839802780099
cached5072-repeat,3501,61.295934800,61.276151841924
cached5072-repeat,5000,88.892553600,87.512356243822
cached5072-repeat,5100,91.463100000,89.262603368698
cached5072-repeat,5990,108.998132500,104.839802780099
cached-nogl,3501,61.288068400,61.276151841924
cached-nogl,5000,88.973962900,87.512356243822
cached-nogl,5100,90.822256000,89.262603368698
cached-nogl,5990,108.409437300,104.839802780099
