run,frame,source_us,assembly_us,hash_us,materials_us,snapshot_us,depth_tests,depth_verified,depth_skipped
written-nogl3,3501,1102.200,3801.300,1189.600,53286.400,0.700,0,0,0
written-nogl3,3502,1120.700,3825.500,1190.700,71.000,0.500,0,0,0
written-nogl3,3503,998.600,3721.800,1179.800,71.000,0.300,0,0,0
written-nogl3,3504,967.900,3736.600,1183.900,85.700,0.600,0,0,0
written-nogl3,3505,969.800,3807.700,1177.200,76.000,0.600,0,0,0
written-nogl3,3506,966.000,3734.400,1197.200,79.300,0.400,0,0,0
written-nogl3,3507,960.000,3775.100,1168.100,80.500,0.700,0,0,0
written-nogl3,3508,1077.700,3833.300,1176.000,74.400,0.300,0,0,0
written-nogl3,3509,966.100,3871.700,1167.000,76.800,0.500,0,0,0
written-nogl3,3510,1206.200,3799.400,1196.700,88.000,1.000,0,0,0
written-nogl3,3512,960.600,3653.200,1147.200,74.000,0.400,0,0,0
written-nogl3,3513,976.200,3893.700,1137.700,80.300,0.400,0,0,0
written-nogl3,3514,955.900,3775.400,1125.900,75.300,0.500,0,0,0
written-nogl3,3515,977.600,3201.200,874.500,75.400,0.300,0,0,0
written-nogl3,3516,1200.600,3166.400,871.500,72.800,0.500,0,0,0
written-nogl3,3517,1008.700,3089.500,886.100,72.400,0.400,0,0,0
written-nogl3,3518,958.700,3233.100,877.200,71.200,0.300,0,0,0
written-nogl3,3519,975.000,3284.300,875.200,74.300,0.600,0,0,0
written-nogl3,3520,1000.200,3160.100,851.700,72.100,0.500,0,0,0
written-nogl3,3521,958.000,2950.100,862.900,71.900,1.000,0,0,0
written-nogl3,3522,990.500,3018.700,852.700,83.700,0.300,0,0,0
written-nogl3,3523,980.600,3005.600,853.600,82.800,0.600,0,0,0
written-nogl3,3524,953.400,2888.100,835.300,68.100,0.300,0,0,0
written-nogl3,3525,961.800,3155.200,832.600,72.200,0.300,0,0,0
written-nogl3,3526,971.700,2937.500,834.900,77.200,0.500,0,0,0
written-nogl3,3527,951.700,2982.500,824.500,72.400,0.500,0,0,0
written-nogl3,3528,945.300,2923.300,812.100,69.400,0.700,0,0,0
written-nogl3,3529,977.500,2904.100,809.100,69.000,0.500,0,0,0
written-nogl3,3530,950.700,3025.800,810.000,71.100,0.500,0,0,0
written-nogl3,3531,1027.400,3077.500,808.600,71.200,0.200,0,0,0
written-nogl3,3532,958.200,2929.700,813.100,70.300,0.600,0,0,0
written-nogl3,3533,959.900,2863.700,820.000,73.000,0.400,0,0,0
written-nogl3,3534,992.600,2996.200,804.300,79.000,0.600,0,0,0
written-nogl3,3535,979.800,2878.900,791.700,86.700,0.500,0,0,0
