scene,frame,mode,quads,vertices,width,height,page,margin,snapshot,host_us
2117,3500,2,1,6,2752,4096,400,88,0,3744.800
2118,3501,2,1,6,2752,4096,0,88,0,493.000
2119,3502,2,1,6,2752,4096,400,88,0,389.900
2120,3503,2,1,6,2752,4096,0,88,0,342.000
2121,3504,2,1,6,2752,4096,400,88,0,378.400
2122,3505,2,1,6,2752,4096,0,88,0,343.400
2123,3506,2,1,6,2752,4096,400,88,0,453.300
2124,3507,2,1,6,2752,4096,0,88,0,486.600
2125,3508,2,1,6,2752,4096,400,88,0,441.800
2126,3509,2,1,6,2752,4096,0,88,0,457.900
2127,3510,2,1,6,2752,4096,400,88,0,422.300
2128,3511,2,1,6,2752,4096,0,88,0,473.600
2129,3512,2,1,6,2752,4096,400,88,0,523.900
2130,3513,2,1,6,2752,4096,0,88,0,388.400
2131,3514,2,1,6,2752,4096,400,88,0,640.300
2132,3515,2,1,6,2752,4096,0,88,0,335.400
2133,3516,2,1,6,2752,4096,400,88,0,351.400
2134,3517,2,1,6,2752,4096,0,88,0,309.500
2135,3518,2,1,6,2752,4096,400,88,0,339.900
2136,3519,2,1,6,2752,4096,0,88,0,441.200
2137,3520,2,1,6,2752,4096,400,88,0,615.800
2138,3521,2,1,6,2752,4096,0,88,0,474.900
2139,3522,2,1,6,2752,4096,400,88,0,266.900
2140,3523,2,1,6,2752,4096,0,88,0,432.000
2141,3524,2,1,6,2752,4096,400,88,0,550.400
2142,3525,2,1,6,2752,4096,0,88,0,351.700
2143,3526,2,1,6,2752,4096,400,88,0,432.100
2144,3527,2,1,6,2752,4096,0,88,0,466.000
2145,3528,2,1,6,2752,4096,400,88,0,376.100
2146,3529,2,1,6,2752,4096,0,88,0,305.700
2147,3530,2,1,6,2752,4096,400,88,0,362.500
2148,3531,2,1,6,2752,4096,0,88,0,499.200
2149,3532,2,1,6,2752,4096,400,88,0,432.100
2150,3533,2,1,6,2752,4096,0,88,0,458.600
2151,3534,2,1,6,2752,4096,400,88,0,474.300
2152,3535,2,1,6,2752,4096,0,88,0,511.900
2153,3536,2,1,6,2752,4096,400,88,0,380.100
2154,3537,2,1,6,2752,4096,0,88,0,331.800
2155,3538,2,1,6,2752,4096,400,88,0,365.500
2156,3539,2,1,6,2752,4096,0,88,0,433.300
2157,3540,2,1,6,2752,4096,400,88,0,437.700
2158,3541,2,1,6,2752,4096,0,88,0,624.000
2159,3542,2,1,6,2752,4096,400,88,0,468.100
2160,3543,2,1,6,2752,4096,0,88,0,579.300
2161,3544,2,1,6,2752,4096,400,88,0,671.300
2162,3545,2,1,6,2752,4096,0,88,0,510.700
2163,3546,2,1,6,2752,4096,400,88,0,627.400
2164,3547,2,1,6,2752,4096,0,88,0,478.400
2165,3548,2,1,6,2752,4096,400,88,0,390.600
2166,3549,2,1,6,2752,4096,0,88,0,464.200
2167,3550,2,1,6,2752,4096,400,88,0,328.500
2168,3551,2,1,6,2752,4096,0,88,0,376.100
2169,3552,2,1,6,2752,4096,400,88,0,354.300
2170,3553,2,1,6,2752,4096,0,88,0,514.000
2171,3554,2,1,6,2752,4096,400,88,0,273.400
2172,3555,2,1,6,2752,4096,0,88,0,324.100
2173,3556,2,1,6,2752,4096,400,88,0,350.000
2174,3557,2,1,6,2752,4096,0,88,0,366.400
2175,3558,2,1,6,2752,4096,400,88,0,370.400
2176,3559,2,1,6,2752,4096,0,88,0,355.000
2177,3560,2,1,6,2752,4096,400,88,0,541.600
2178,3561,2,1,6,2752,4096,0,88,0,395.300
2179,3562,2,1,6,2752,4096,400,88,0,344.600
2180,3563,2,1,6,2752,4096,0,88,0,347.100
2181,3564,2,1,6,2752,4096,400,88,0,492.400
2182,3565,2,1,6,2752,4096,0,88,0,386.800
2183,3566,2,1,6,2752,4096,400,88,0,386.100
2184,3567,2,1,6,2752,4096,0,88,0,412.200
2185,3568,2,1,6,2752,4096,400,88,0,342.300
2186,3569,2,1,6,2752,4096,0,88,0,350.100
2187,3570,2,1,6,2752,4096,400,88,0,482.500
2188,3571,2,1,6,2752,4096,0,88,0,545.800
2189,3572,2,1,6,2752,4096,400,88,0,345.900
2190,3573,2,1,6,2752,4096,0,88,0,520.300
2191,3574,2,1,6,2752,4096,400,88,0,407.200
2192,3575,2,1,6,2752,4096,0,88,0,384.300
2193,3576,2,1,6,2752,4096,400,88,0,407.100
2194,3577,2,1,6,2752,4096,0,88,0,439.000
2195,3578,2,1,6,2752,4096,400,88,0,443.100
2196,3579,2,1,6,2752,4096,0,88,0,438.600
2197,3580,2,1,6,2752,4096,400,88,0,423.600
2198,3581,2,1,6,2752,4096,0,88,0,459.300
2199,3582,2,1,6,2752,4096,400,88,0,473.000
2200,3583,2,1,6,2752,4096,0,88,0,388.400
2201,3584,2,1,6,2752,4096,400,88,0,375.100
2202,3585,2,1,6,2752,4096,0,88,0,340.000
2203,3586,2,1,6,2752,4096,400,88,0,337.100
2204,3587,2,1,6,2752,4096,0,88,0,426.700
2205,3588,2,1,6,2752,4096,400,88,0,437.300
2206,3589,2,1,6,2752,4096,0,88,0,459.700
2207,3590,2,1,6,2752,4096,400,88,0,392.400
2208,3591,2,1,6,2752,4096,0,88,0,306.900
2209,3592,2,1,6,2752,4096,400,88,0,409.500
2210,3593,2,1,6,2752,4096,0,88,0,370.600
2211,3594,2,1,6,2752,4096,400,88,0,296.200
2212,3595,2,1,6,2752,4096,0,88,0,418.500
2213,3596,2,1,6,2752,4096,400,88,0,219.900
2214,3597,2,1,6,2752,4096,0,88,0,538.400
2215,3598,2,1,6,2752,4096,400,88,0,421.900
2216,3599,2,1,6,2752,4096,0,88,0,358.200
2217,3600,2,1,6,2752,4096,400,88,0,530.200
2218,3601,2,1,6,2752,4096,0,88,0,487.000
2219,3602,2,1,6,2752,4096,400,88,0,399.100
2220,3603,2,1,6,2752,4096,0,88,0,384.400
2221,3604,2,1,6,2752,4096,400,88,0,491.100
2222,3605,2,1,6,2752,4096,0,88,0,356.400
2223,3606,2,1,6,2752,4096,400,88,0,492.300
2224,3607,2,1,6,2752,4096,0,88,0,561.900
2225,3608,2,1,6,2752,4096,400,88,0,383.500
2226,3609,2,1,6,2752,4096,0,88,0,494.500
2227,3610,2,1,6,2752,4096,400,88,0,369.600
2228,3611,2,1,6,2752,4096,0,88,0,488.300
2229,3612,2,1,6,2752,4096,400,88,0,377.600
2230,3613,2,1,6,2752,4096,0,88,0,393.900
2231,3614,2,1,6,2752,4096,400,88,0,491.300
2232,3615,2,1,6,2752,4096,0,88,0,404.700
2233,3616,2,1,6,2752,4096,400,88,0,510.200
2234,3617,2,1,6,2752,4096,0,88,0,346.700
2235,3618,2,1,6,2752,4096,400,88,0,413.100
2236,3619,2,1,6,2752,4096,0,88,0,350.200
2237,3620,2,1,6,2752,4096,400,88,0,409.800
2238,3621,2,1,6,2752,4096,0,88,0,427.800
2239,3622,2,1,6,2752,4096,400,88,0,394.400
2240,3623,2,1,6,2752,4096,0,88,0,458.300
2241,3624,2,1,6,2752,4096,400,88,0,294.700
2242,3625,2,1,6,2752,4096,0,88,0,394.500
2243,3626,2,1,6,2752,4096,400,88,0,349.900
2244,3627,2,1,6,2752,4096,0,88,0,402.000
2245,3628,2,1,6,2752,4096,400,88,0,298.000
2246,3629,2,1,6,2752,4096,0,88,0,513.200
2247,3630,2,1,6,2752,4096,400,88,0,378.000
2248,3631,2,1,6,2752,4096,0,88,0,298.900
2249,3632,2,1,6,2752,4096,400,88,0,341.600
2250,3633,2,1,6,2752,4096,0,88,0,513.200
2251,3634,2,1,6,2752,4096,400,88,0,402.900
2252,3635,2,1,6,2752,4096,0,88,0,418.100
2253,3636,2,1,6,2752,4096,400,88,0,435.800
2254,3637,2,1,6,2752,4096,0,88,0,508.400
2255,3638,2,2,12,2752,4096,400,88,0,258.000
2256,3639,2,2,12,2752,4096,0,88,0,379.300
2257,3640,2,2,12,2752,4096,400,88,0,462.300
2258,3641,2,2,12,2752,4096,0,88,0,350.700
2259,3642,2,2,12,2752,4096,400,88,0,477.300
2260,3643,2,2,12,2752,4096,0,88,0,438.900
2261,3644,2,2,12,2752,4096,400,88,0,307.700
2262,3645,2,2,12,2752,4096,0,88,0,346.100
2263,3646,2,2,12,2752,4096,400,88,0,545.100
2264,3647,2,2,12,2752,4096,0,88,0,337.500
2265,3648,2,2,12,2752,4096,400,88,0,300.000
2266,3649,2,2,12,2752,4096,0,88,0,376.500
2267,3650,2,2,12,2752,4096,400,88,0,425.200
2268,3651,2,2,12,2752,4096,0,88,0,443.800
2269,3652,2,1,6,2752,4096,400,88,0,378.000
2270,3653,2,1,6,2752,4096,0,88,0,439.800
2271,3654,2,1,6,2752,4096,400,88,0,475.000
2272,3655,2,1,6,2752,4096,0,88,0,301.300
2273,3656,2,1,6,2752,4096,400,88,0,462.200
2274,3657,2,1,6,2752,4096,0,88,0,371.400
2275,3658,2,1,6,2752,4096,400,88,0,363.400
2276,3659,2,1,6,2752,4096,0,88,0,386.500
2277,3660,2,1,6,2752,4096,400,88,0,581.500
2278,3661,2,1,6,2752,4096,0,88,0,441.000
2279,3662,2,1,6,2752,4096,400,88,0,459.400
2280,3663,2,1,6,2752,4096,0,88,0,567.500
2281,3664,2,1,6,2752,4096,400,88,0,430.800
2282,3665,2,1,6,2752,4096,0,88,0,401.600
2283,3666,2,1,6,2752,4096,400,88,0,391.500
2284,3667,2,1,6,2752,4096,0,88,0,316.500
2285,3668,2,1,6,2752,4096,400,88,0,325.800
2286,3669,2,1,6,2752,4096,0,88,0,463.500
2287,3670,2,1,6,2752,4096,400,88,0,420.700
2288,3671,2,1,6,2752,4096,0,88,0,415.800
2289,3672,2,1,6,2752,4096,400,88,0,422.500
2290,3673,2,1,6,2752,4096,0,88,0,468.800
2291,3674,2,1,6,2752,4096,400,88,0,467.100
2292,3675,2,1,6,2752,4096,0,88,0,315.600
2293,3676,2,1,6,2752,4096,400,88,0,325.100
2294,3677,2,1,6,2752,4096,0,88,0,640.300
2295,3678,2,1,6,2752,4096,400,88,0,487.800
2296,3679,2,1,6,2752,4096,0,88,0,551.300
2297,3680,2,1,6,2752,4096,400,88,0,584.300
2298,3681,2,1,6,2752,4096,0,88,0,462.800
2299,3682,2,1,6,2752,4096,400,88,0,369.900
2300,3683,2,1,6,2752,4096,0,88,0,351.600
2301,3684,2,1,6,2752,4096,400,88,0,319.200
2302,3685,2,1,6,2752,4096,0,88,0,395.400
2303,3686,2,1,6,2752,4096,400,88,0,431.200
2304,3687,2,2,12,2752,4096,0,88,0,387.100
2305,3688,2,2,12,2752,4096,400,88,0,333.100
2306,3689,2,2,12,2752,4096,0,88,0,448.600
2307,3690,2,2,12,2752,4096,400,88,0,420.600
2308,3691,2,2,12,2752,4096,0,88,0,390.600
2309,3692,2,2,12,2752,4096,400,88,0,591.800
2310,3693,2,2,12,2752,4096,0,88,0,471.600
2311,3694,2,2,12,2752,4096,400,88,0,287.000
2312,3695,2,2,12,2752,4096,0,88,0,352.600
2313,3696,2,2,12,2752,4096,400,88,0,351.600
2314,3698,2,2,12,2752,4096,0,88,0,446.500
2315,3700,2,2,12,2752,4096,400,88,0,380.600
2316,3701,2,2,12,2752,4096,0,88,0,291.000
2317,3702,2,2,12,2752,4096,400,88,0,371.300
2318,3703,2,2,12,2752,4096,0,88,0,401.000
2319,3704,2,2,12,2752,4096,400,88,0,486.300
2320,3705,2,2,12,2752,4096,0,88,0,442.700
2321,3706,2,2,12,2752,4096,400,88,0,366.100
2322,3707,2,2,12,2752,4096,0,88,0,442.700
2323,3708,2,2,12,2752,4096,400,88,0,377.100
2324,3709,2,2,12,2752,4096,0,88,0,334.000
2325,3710,2,2,12,2752,4096,400,88,0,410.800
2326,3711,2,2,12,2752,4096,0,88,0,359.300
2327,3712,2,2,12,2752,4096,400,88,0,313.600
2328,3713,2,2,12,2752,4096,0,88,0,489.100
2329,3714,2,3,18,2752,4096,400,88,0,328.400
2330,3715,2,3,18,2752,4096,0,88,0,394.800
2331,3716,2,3,18,2752,4096,400,88,0,451.100
2332,3717,2,3,18,2752,4096,0,88,0,396.700
2333,3718,2,3,18,2752,4096,400,88,0,408.000
2334,3719,2,3,18,2752,4096,0,88,0,368.400
2335,3720,2,3,18,2752,4096,400,88,0,437.200
2336,3721,2,3,18,2752,4096,0,88,0,391.800
2337,3722,2,3,18,2752,4096,400,88,0,506.700
2338,3723,2,3,18,2752,4096,0,88,0,344.800
2339,3724,2,3,18,2752,4096,400,88,0,380.200
