scene,scene_frame,frame,ready_frame,objects,candidates,already_submitted,instances,quads,excluded_raster,hash,guest_cycles,assembly_us,materials_us,sealed_frame,camera_advanced,changed_objects,binding_checks,seal_us,bindings_advanced,model_checks,model_bytes,palette_checks,texture_pages,lease_us,ram_models,seal_pages,seal_verified
2117,3500,3500,3501,268,1,0,1,1,0,7bbdea7e49b3972d,0,28.900,16.600,3501,0,0,1,1784.600,0,1,56,1,9,5.100,0,4096,0
2118,3501,3501,3502,268,1,0,1,1,0,6c00f22d31eea047,0,18.100,13.200,3502,0,0,1,199.900,0,1,56,1,9,6.500,0,3,0
2119,3502,3502,3503,268,1,0,1,1,0,9f9bf7893cce977f,0,13.400,10.700,3503,0,0,1,156.100,0,1,56,1,9,4.700,0,3,0
2120,3503,3503,3504,266,1,0,1,1,0,c13392324e1fc6cd,0,15.200,11.300,3504,0,0,1,159.900,0,1,56,1,9,4.700,0,3,0
2121,3504,3504,3505,266,1,0,1,1,0,15d8a6761fab87f9,0,11.900,9.800,3505,0,0,1,149.500,0,1,56,1,9,4.700,0,3,0
2122,3505,3505,3506,266,1,0,1,1,0,1df2e224bb7d00cf,0,12.700,10.400,3506,0,0,1,159.400,0,1,56,1,9,4.600,0,3,0
2123,3506,3506,3507,266,1,0,1,1,0,a54468dd57e6cecb,0,16.600,12.900,3507,0,0,1,175.400,0,1,56,1,9,5.200,0,3,0
2124,3507,3507,3508,266,1,0,1,1,0,c30563c0a7670979,0,14.300,10.200,3508,0,0,1,161.000,0,1,56,1,9,5.100,0,3,0
2125,3508,3508,3509,266,1,0,1,1,0,9b43eeaca86d153d,0,18.600,11.500,3509,0,0,1,168.700,0,1,56,1,9,8.900,0,3,0
2126,3509,3509,3510,266,1,0,1,1,0,5ce01d44472ba743,0,12.600,10.500,3510,0,0,1,151.700,0,1,56,1,9,4.800,0,3,0
2127,3510,3510,3511,266,1,0,1,1,0,1c8b2e4b31dfd7eb,0,11.900,10.200,3511,0,0,1,153.100,0,1,56,1,9,4.800,0,3,0
2128,3511,3511,3512,266,1,0,1,1,0,7335be0a167bcf55,0,16.900,11.500,3512,0,0,1,192.600,0,1,56,1,9,5.900,0,3,0
2129,3512,3512,3513,266,1,0,1,1,0,3498134ba82e9ebd,0,12.800,11.200,3513,0,0,1,159.500,0,1,56,1,9,4.200,0,3,0
2130,3513,3513,3514,266,1,0,1,1,0,5401b537f01fe063,0,13.400,10.400,3514,0,0,1,181.800,0,1,56,1,9,4.300,0,3,0
2131,3514,3514,3515,266,1,0,1,1,0,0c742d1e44d607e3,0,12.500,10.600,3515,0,0,1,150.200,0,1,56,1,9,4.500,0,3,0
2132,3515,3515,3516,266,1,0,1,1,0,1237a7799d51c775,0,11.800,11.100,3516,0,0,1,155.500,0,1,56,1,9,4.500,0,3,0
2133,3516,3516,3517,266,1,0,1,1,0,5855e5e1c7754f55,0,12.200,10.700,3517,0,0,1,154.000,0,1,56,1,9,4.600,0,3,0
2134,3517,3517,3518,266,1,0,1,1,0,a74823e61f38bbcf,0,12.200,10.300,3518,0,0,1,158.600,0,1,56,1,9,4.800,0,3,0
2135,3518,3518,3519,266,1,0,1,1,0,b5409d38d977abcf,0,12.700,10.300,3519,0,0,1,154.700,0,1,56,1,9,4.400,0,3,0
