scene,scene_frame,end_frame,end_time,ready_frame,ready_time,consumer,target,words,immediate,guest_cycles,page
2117,3500,3501,61.278370932721,3501,61.278370932721,200882,200882,0,1,0,400
2118,3501,3502,61.295873366054,3502,61.295873366054,200882,200882,0,1,0,0
2119,3502,3503,61.313375966054,3503,61.313375966054,200882,200882,0,1,0,400
2120,3503,3504,61.330858099387,3504,61.330868232720,200816,200847,31,0,0,0
2121,3504,3505,61.348360332720,3505,61.348370466053,200816,200847,31,0,0,400
2122,3505,3506,61.365862799386,3506,61.365872932720,200816,200847,31,0,0,0
2123,3506,3507,61.383365232719,3507,61.383375366053,200816,200847,31,0,0,400
2124,3507,3508,61.400867666053,3508,61.400877799386,200816,200847,31,0,0,0
2125,3508,3509,61.418370266052,3509,61.418380399386,200816,200847,31,0,0,400
2126,3509,3510,61.435872599386,3510,61.435882732719,200816,200847,31,0,0,0
2127,3510,3511,61.453375132719,3511,61.453385266052,200816,200847,31,0,0,400
2128,3511,3512,61.470877966052,3512,61.470888099385,200816,200847,31,0,0,0
2129,3512,3513,61.488380732718,3513,61.488390866052,200816,200847,31,0,0,400
2130,3513,3514,61.505882566052,3514,61.505892699385,200816,200847,31,0,0,0
2131,3514,3515,61.523385032718,3515,61.523395166051,200816,200847,31,0,0,400
2132,3515,3516,61.540887499385,3516,61.540897632718,200816,200847,31,0,0,0
2133,3516,3517,61.558390032718,3517,61.558400166051,200816,200847,31,0,0,400
2134,3517,3518,61.575892366051,3518,61.575902499384,200816,200847,31,0,0,0
2135,3518,3519,61.593394866051,3519,61.593404999384,200816,200847,31,0,0,400
2136,3519,3520,61.610897699384,3520,61.610907832717,200816,200847,31,0,0,0
2137,3520,3521,61.628399899384,3521,61.628410032717,200816,200847,31,0,0,400
2138,3521,3522,61.645902399384,3522,61.645912532717,200816,200847,31,0,0,0
2139,3522,3523,61.663404832717,3523,61.663414966050,200816,200847,31,0,0,400
2140,3523,3524,61.680907299383,3524,61.680917432717,200816,200847,31,0,0,0
2141,3524,3525,61.698409732716,3525,61.698419866050,200816,200847,31,0,0,400
2142,3525,3526,61.715912199383,3526,61.715922332716,200816,200847,31,0,0,0
2143,3526,3527,61.733414732716,3527,61.733424866049,200816,200847,31,0,0,400
2144,3527,3528,61.750917566049,3528,61.750927699382,200816,200847,31,0,0,0
2145,3528,3529,61.768419666049,3529,61.768429799382,200816,200847,31,0,0,400
2146,3529,3530,61.785922132715,3530,61.785932266049,200816,200847,31,0,0,0
2147,3530,3531,61.803424532715,3531,61.803434666049,200816,200847,31,0,0,400
2148,3531,3532,61.820927099382,3532,61.820937232715,200816,200847,31,0,0,0
2149,3532,3533,61.838429499382,3533,61.838439632715,200816,200847,31,0,0,400
2150,3533,3534,61.855931899381,3534,61.855942032715,200816,200847,31,0,0,0
2151,3534,3535,61.873434366048,3535,61.873444499381,200816,200847,31,0,0,400
2152,3535,3536,61.890937266048,3536,61.890947399381,200816,200847,31,0,0,0
2153,3536,3537,61.908439366048,3537,61.908449499381,200816,200847,31,0,0,400
2154,3537,3538,61.925941799381,3538,61.925951932714,200816,200847,31,0,0,0
2155,3538,3539,61.943546866047,3539,61.943552032714,200816,200871,55,0,0,400
2156,3539,3540,61.960953666047,3540,61.960958832714,200816,200871,55,0,0,0
2157,3540,3541,61.978456266047,3541,61.978461432714,200816,200871,55,0,0,400
2158,3541,3542,61.995958699380,3542,61.995963866047,200816,200871,55,0,0,0
2159,3542,3543,62.013461099380,3543,62.013466266047,200816,200871,55,0,0,400
2160,3543,3544,62.030964132713,3544,62.030969299380,200816,200871,55,0,0,0
2161,3544,3545,62.048466099380,3545,62.048471266046,200816,200871,55,0,0,400
2162,3545,3546,62.065968499379,3546,62.065973666046,200816,200871,55,0,0,0
2163,3546,3547,62.083471032712,3547,62.083476199379,200816,200871,55,0,0,400
2164,3547,3548,62.100973566046,3548,62.100978732712,200816,200871,55,0,0,0
2165,3548,3549,62.118475932712,3549,62.118481099379,200816,200871,55,0,0,400
2166,3549,3550,62.135986099379,3550,62.135991266045,200816,200871,55,0,0,0
2167,3550,3551,62.153480999378,3551,62.153486166045,200816,200871,55,0,0,400
2168,3551,3552,62.170983666045,3552,62.170988832712,200816,200871,55,0,0,0
2169,3552,3553,62.188485866045,3553,62.188491032711,200816,200871,55,0,0,400
2170,3553,3554,62.205988399378,3554,62.205993566045,200816,200871,55,0,0,0
2171,3554,3555,62.223490799378,3555,62.223495966044,200816,200871,55,0,0,400
2172,3555,3556,62.240993199378,3556,62.240998366044,200816,200871,55,0,0,0
2173,3556,3557,62.258495732711,3557,62.258500899377,200816,200871,55,0,0,400
2174,3557,3558,62.275998266044,3558,62.276003432711,200816,200871,55,0,0,0
2175,3558,3559,62.293500632710,3559,62.293505799377,200816,200871,55,0,0,400
2176,3559,3560,62.311003666044,3560,62.311008832710,200816,200871,55,0,0,0
2177,3560,3561,62.328505566043,3561,62.328510732710,200816,200871,55,0,0,400
2178,3561,3562,62.346008099377,3562,62.346013266043,200816,200871,55,0,0,0
2179,3562,3563,62.363510632710,3563,62.363515799376,200816,200871,55,0,0,400
2180,3563,3564,62.381012999376,3564,62.381018166043,200816,200871,55,0,0,0
2181,3564,3565,62.398515499376,3565,62.398520666043,200816,200871,55,0,0,400
2182,3565,3566,62.416017966043,3566,62.416023132709,200816,200871,55,0,0,0
2183,3566,3567,62.433520399376,3567,62.433525566042,200816,200871,55,0,0,400
2184,3567,3568,62.451023299375,3568,62.451028466042,200816,200871,55,0,0,0
2185,3568,3569,62.468525466042,3569,62.468530632709,200816,200871,55,0,0,400
2186,3569,3570,62.486027799375,3570,62.486032966042,200816,200871,55,0,0,0
2187,3570,3571,62.503530399375,3571,62.503535566042,200816,200871,55,0,0,400
2188,3571,3572,62.521032832708,3572,62.521037999375,200816,200871,55,0,0,0
2189,3572,3573,62.538535232708,3573,62.538540399375,200816,200871,55,0,0,400
2190,3573,3574,62.556037832708,3574,62.556042999374,200816,200871,55,0,0,0
2191,3574,3575,62.573540232708,3575,62.573545399374,200816,200871,55,0,0,400
2192,3575,3576,62.591043132707,3576,62.591048299374,200816,200871,55,0,0,0
2193,3576,3577,62.608545099374,3577,62.608550266041,200816,200871,55,0,0,400
2194,3577,3578,62.626047699374,3578,62.626052866040,200816,200871,55,0,0,0
2195,3578,3579,62.643550132707,3579,62.643555299374,200816,200871,55,0,0,400
2196,3579,3580,62.661052632707,3580,62.661057799373,200816,200871,55,0,0,0
2197,3580,3581,62.678555066040,3581,62.678560232707,200816,200871,55,0,0,400
2198,3581,3582,62.696057499373,3582,62.696062666040,200816,200871,55,0,0,0
2199,3582,3583,62.713560066040,3583,62.713565232706,200816,200871,55,0,0,400
2200,3583,3584,62.731062799373,3584,62.731067966039,200816,200871,55,0,0,0
2201,3584,3585,62.748564932706,3585,62.748570099373,200816,200871,55,0,0,400
2202,3585,3586,62.766067332706,3586,62.766072499372,200816,200871,55,0,0,0
2203,3586,3587,62.783665432705,3587,62.783670599372,200816,200871,55,0,0,400
2204,3587,3588,62.801072399372,3588,62.801077566039,200816,200871,55,0,0,0
2205,3588,3589,62.818574866038,3589,62.818580032705,200816,200871,55,0,0,400
2206,3589,3590,62.836077332705,3590,62.836082499372,200816,200871,55,0,0,0
2207,3590,3591,62.853579766038,3591,62.853584932705,200816,200871,55,0,0,400
2208,3591,3592,62.871082632705,3592,62.871087799371,200816,200871,55,0,0,0
2209,3592,3593,62.888584732704,3593,62.888589899371,200816,200871,55,0,0,400
2210,3593,3594,62.906087166038,3594,62.906092332704,200816,200871,55,0,0,0
2211,3594,3595,62.923589632704,3595,62.923594799371,200816,200871,55,0,0,400
2212,3595,3596,62.941092099371,3596,62.941097266037,200816,200871,55,0,0,0
2213,3596,3597,62.958594566037,3597,62.958599732704,200816,200871,55,0,0,400
2214,3597,3598,62.976096999370,3598,62.976102166037,200816,200871,55,0,0,0
2215,3598,3599,62.993599599370,3599,62.993604766037,200816,200871,55,0,0,400
2216,3599,3600,63.011102266037,3600,63.011107432703,200816,200871,55,0,0,0
2217,3600,3601,63.028604532703,3601,63.028609699370,200816,200871,55,0,0,400
2218,3601,3602,63.046107032703,3602,63.046112199370,200816,200871,55,0,0,0
2219,3602,3603,63.063609499369,3603,63.063614666036,200816,200871,55,0,0,400
2220,3603,3604,63.081111832703,3604,63.081116999369,200816,200871,55,0,0,0
2221,3604,3605,63.098614399369,3605,63.098619566036,200816,200871,55,0,0,400
2222,3605,3606,63.116116866036,3606,63.116122032702,200816,200871,55,0,0,0
2223,3606,3607,63.133626899369,3607,63.133632066035,200816,200871,55,0,0,400
2224,3607,3608,63.151122266035,3608,63.151127432702,200816,200871,55,0,0,0
2225,3608,3609,63.168624232702,3609,63.168629399368,200816,200871,55,0,0,400
2226,3609,3610,63.186126732701,3610,63.186131899368,200816,200871,55,0,0,0
2227,3610,3611,63.203629132701,3611,63.203634299368,200816,200871,55,0,0,400
2228,3611,3612,63.221131632701,3612,63.221136799368,200816,200871,55,0,0,0
2229,3612,3613,63.238634199368,3613,63.238639366034,200816,200871,55,0,0,400
2230,3613,3614,63.256136666034,3614,63.256141832701,200816,200871,55,0,0,0
2231,3614,3615,63.273639099367,3615,63.273644266034,200816,200871,55,0,0,400
2232,3615,3616,63.291141799367,3616,63.291146966034,200816,200871,55,0,0,0
2233,3616,3617,63.308643999367,3617,63.308649166034,200816,200871,55,0,0,400
2234,3617,3618,63.326146499367,3618,63.326151666033,200816,200871,55,0,0,0
2235,3618,3619,63.343648999367,3619,63.343654166033,200816,200871,55,0,0,400
2236,3619,3620,63.361151399366,3620,63.361156566033,200816,200871,55,0,0,0
2237,3620,3621,63.378653899366,3621,63.378659066033,200816,200871,55,0,0,400
2238,3621,3622,63.396156399366,3622,63.396161566033,200816,200871,55,0,0,0
2239,3622,3623,63.413658899366,3623,63.413664066033,200816,200871,55,0,0,400
2240,3623,3624,63.431161832699,3624,63.431166999366,200816,200871,55,0,0,0
2241,3624,3625,63.448663866032,3625,63.448669032699,200816,200871,55,0,0,400
2242,3625,3626,63.466166332699,3626,63.466171499365,200816,200871,55,0,0,0
2243,3626,3627,63.483668766032,3627,63.483673932698,200816,200871,55,0,0,400
2244,3627,3628,63.501171199365,3628,63.501176366032,200816,200871,55,0,0,0
