scene,frame,mode,quads,vertices,width,height,page,margin,snapshot,host_us
2112,3501,1,382,0,2736,4096,0,86,0,535.600
2113,3502,1,383,0,2736,4096,400,86,0,235.000
2114,3503,1,379,0,2736,4096,0,86,0,209.500
2115,3504,1,399,0,2736,4096,400,86,0,164.400
2116,3505,1,400,0,2736,4096,0,86,0,373.300
2117,3506,1,413,0,2736,4096,400,86,0,209.500
2118,3507,1,435,0,2736,4096,0,86,0,233.300
2119,3508,1,463,0,2736,4096,400,86,0,164.100
2120,3509,1,462,0,2736,4096,0,86,0,199.700
2121,3510,1,476,0,2736,4096,400,86,0,159.400
2122,3512,1,511,0,2736,4096,0,86,0,262.200
2123,3513,1,532,0,2736,4096,400,86,0,210.300
2124,3514,1,576,0,2736,4096,0,86,0,194.000
2125,3515,1,641,0,2736,4096,400,86,0,221.200
2126,3516,1,659,0,2736,4096,0,86,0,208.300
2127,3517,1,690,0,2736,4096,400,86,0,279.000
2128,3518,1,719,0,2736,4096,0,86,0,312.000
2129,3519,1,754,0,2736,4096,400,86,0,270.900
2130,3520,1,756,0,2736,4096,0,86,0,362.100
2131,3521,1,758,0,2736,4096,400,86,0,214.000
2132,3522,1,751,0,2736,4096,0,86,0,188.900
2133,3523,1,767,0,2736,4096,400,86,0,248.200
2134,3524,1,774,0,2736,4096,0,86,0,336.500
2135,3525,1,816,0,2736,4096,400,86,0,246.900
2136,3526,1,862,0,2736,4096,0,86,0,217.000
2137,3527,1,868,0,2736,4096,400,86,0,210.200
2138,3528,1,872,0,2736,4096,0,86,0,475.500
2139,3529,1,896,0,2736,4096,400,86,0,241.500
2140,3530,1,904,0,2736,4096,0,86,0,219.000
2141,3531,1,942,0,2736,4096,400,86,0,223.300
2142,3532,1,1028,0,2736,4096,0,86,0,213.500
2143,3533,1,1041,0,2736,4096,400,86,0,311.300
2144,3534,1,1059,0,2736,4096,0,86,0,240.200
2145,3535,1,1110,0,2736,4096,400,86,0,195.400
2146,3536,1,1104,0,2736,4096,0,86,0,323.000
2147,3537,1,1081,0,2736,4096,400,86,0,389.900
2148,3538,1,1081,0,2736,4096,0,86,0,234.300
2149,3539,1,1015,0,2736,4096,400,86,0,220.200
2150,3540,1,963,0,2736,4096,0,86,0,286.700
2151,3542,1,921,0,2736,4096,400,86,0,320.400
2152,3543,1,903,0,2736,4096,0,86,0,333.500
2153,3544,1,901,0,2736,4096,400,86,0,388.600
2154,3545,1,847,0,2736,4096,0,86,0,213.200
2155,3546,1,801,0,2736,4096,400,86,0,188.600
2156,3547,1,799,0,2736,4096,0,86,0,172.800
2157,3548,1,792,0,2736,4096,400,86,0,262.200
2158,3549,1,768,0,2736,4096,0,86,0,225.000
2159,3550,1,758,0,2736,4096,400,86,0,175.600
2160,3551,1,575,0,2736,4096,0,86,0,346.100
2161,3552,1,529,0,2736,4096,400,86,0,279.800
2162,3553,1,513,0,2736,4096,0,86,0,253.400
2163,3554,1,506,0,2736,4096,400,86,0,201.300
2164,3555,1,456,0,2736,4096,0,86,0,218.600
2165,3556,1,444,0,2736,4096,400,86,0,238.200
2166,3557,1,401,0,2736,4096,0,86,0,286.400
2167,3558,1,363,0,2736,4096,400,86,0,288.700
2168,3559,1,324,0,2736,4096,0,86,0,314.800
2169,3560,1,313,0,2736,4096,400,86,0,331.100
2170,3561,1,253,0,2736,4096,0,86,0,271.400
2171,3562,1,239,0,2736,4096,400,86,0,401.400
2172,3563,1,219,0,2736,4096,0,86,0,369.500
2173,3564,1,188,0,2736,4096,400,86,0,300.600
2174,3565,1,134,0,2736,4096,0,86,0,362.200
2175,3567,1,101,0,2736,4096,400,86,0,307.700
2176,3568,1,101,0,2736,4096,0,86,0,596.600
2177,3569,1,113,0,2736,4096,400,86,0,282.800
2178,3570,1,111,0,2736,4096,0,86,0,241.300
2179,3571,1,109,0,2736,4096,400,86,0,254.800
2180,3572,1,86,0,2736,4096,0,86,0,366.000
2181,3573,1,86,0,2736,4096,400,86,0,264.600
2182,3574,1,74,0,2736,4096,0,86,0,257.900
2183,3575,1,49,0,2736,4096,400,86,0,267.000
2184,3576,1,21,0,2736,4096,0,86,0,294.000
2185,3577,1,19,0,2736,4096,400,86,0,334.300
2186,3578,1,22,0,2736,4096,0,86,0,452.600
2187,3579,1,24,0,2736,4096,400,86,0,253.500
2188,3580,1,24,0,2736,4096,0,86,0,227.400
2189,3581,1,15,0,2736,4096,400,86,0,222.600
2190,3582,1,13,0,2736,4096,0,86,0,271.300
2191,3583,1,13,0,2736,4096,400,86,0,233.600
2192,3584,1,9,0,2736,4096,0,86,0,260.600
2193,3585,1,16,0,2736,4096,400,86,0,312.500
2194,3586,1,16,0,2736,4096,0,86,0,228.200
2195,3587,1,26,0,2736,4096,400,86,0,329.200
2196,3588,1,34,0,2736,4096,0,86,0,230.200
2197,3589,1,35,0,2736,4096,400,86,0,480.400
