scene,frame,mode,quads,vertices,width,height,page,margin,snapshot,host_us
2112,3501,2,382,2292,2736,4096,0,86,0,4676.400
2113,3502,2,383,2298,2736,4096,400,86,0,513.000
2114,3503,2,379,2274,2736,4096,0,86,0,463.600
2115,3504,2,399,2394,2736,4096,400,86,0,421.700
2116,3505,2,400,2400,2736,4096,0,86,0,505.300
2117,3506,2,413,2478,2736,4096,400,86,0,346.300
2118,3507,2,435,2610,2736,4096,0,86,0,421.400
2119,3508,2,463,2778,2736,4096,400,86,0,508.700
2120,3509,2,462,2772,2736,4096,0,86,0,478.200
2121,3510,2,476,2856,2736,4096,400,86,0,527.200
2122,3512,2,511,3066,2736,4096,0,86,0,459.800
2123,3513,2,532,3192,2736,4096,400,86,0,426.700
2124,3514,2,576,3456,2736,4096,0,86,0,474.500
2125,3515,2,641,3849,2736,4096,400,86,0,384.300
2126,3516,2,659,3954,2736,4096,0,86,0,732.800
2127,3517,2,690,4140,2736,4096,400,86,0,657.800
2128,3518,2,719,4317,2736,4096,0,86,0,605.100
2129,3519,2,754,4524,2736,4096,400,86,0,617.700
2130,3520,2,756,4536,2736,4096,0,86,0,497.500
2131,3521,2,758,4548,2736,4096,400,86,0,579.300
2132,3522,2,751,4506,2736,4096,0,86,0,436.200
2133,3523,2,767,4602,2736,4096,400,86,0,436.800
2134,3524,2,774,4644,2736,4096,0,86,0,506.600
2135,3525,2,816,4896,2736,4096,400,86,0,602.100
2136,3526,2,862,5172,2736,4096,0,86,0,523.500
2137,3527,2,868,5208,2736,4096,400,86,0,585.200
2138,3528,2,872,5232,2736,4096,0,86,0,435.000
2139,3529,2,896,5376,2736,4096,400,86,0,473.900
2140,3530,2,904,5424,2736,4096,0,86,0,522.200
2141,3531,2,942,5652,2736,4096,400,86,0,498.700
2142,3532,2,1028,6168,2736,4096,0,86,0,474.600
2143,3533,2,1041,6246,2736,4096,400,86,0,574.000
2144,3534,2,1059,6354,2736,4096,0,86,0,795.900
2145,3535,2,1110,6660,2736,4096,400,86,0,589.200
2146,3536,2,1104,6624,2736,4096,0,86,0,695.700
2147,3537,2,1081,6486,2736,4096,400,86,0,598.800
2148,3538,2,1081,6486,2736,4096,0,86,0,670.000
2149,3539,2,1015,6090,2736,4096,400,86,0,606.800
2150,3540,2,963,5778,2736,4096,0,86,0,592.500
2151,3542,2,921,5526,2736,4096,400,86,0,381.600
2152,3543,2,903,5418,2736,4096,0,86,0,549.400
2153,3544,2,901,5406,2736,4096,400,86,0,607.600
2154,3545,2,847,5082,2736,4096,0,86,0,418.900
2155,3546,2,801,4806,2736,4096,400,86,0,473.200
2156,3547,2,799,4794,2736,4096,0,86,0,519.800
2157,3548,2,792,4752,2736,4096,400,86,0,389.000
2158,3549,2,768,4608,2736,4096,0,86,0,464.800
2159,3550,2,758,4548,2736,4096,400,86,0,542.900
2160,3551,2,575,3450,2736,4096,0,86,0,412.100
2161,3552,2,529,3174,2736,4096,400,86,0,369.900
2162,3553,2,513,3078,2736,4096,0,86,0,480.000
2163,3554,2,506,3036,2736,4096,400,86,0,693.700
2164,3555,2,456,2736,2736,4096,0,86,0,357.300
2165,3556,2,444,2664,2736,4096,400,86,0,422.000
2166,3557,2,401,2406,2736,4096,0,86,0,586.100
2167,3558,2,363,2178,2736,4096,400,86,0,644.700
2168,3559,2,324,1944,2736,4096,0,86,0,396.000
2169,3560,2,313,1878,2736,4096,400,86,0,458.400
2170,3561,2,253,1518,2736,4096,0,86,0,405.000
2171,3562,2,239,1434,2736,4096,400,86,0,464.400
2172,3563,2,219,1314,2736,4096,0,86,0,375.100
2173,3564,2,188,1128,2736,4096,400,86,0,555.900
2174,3565,2,134,804,2736,4096,0,86,0,448.400
2175,3567,2,101,606,2736,4096,400,86,0,444.900
2176,3568,2,101,606,2736,4096,0,86,0,430.500
2177,3569,2,113,675,2736,4096,400,86,0,490.900
