scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2117,3500,1,4096,7,16800920,fa5171999476382a,23107.600,9098.400,1050.700,20758.800
2118,3501,2,0,7,7320,fa5171999476382a,1441.800,4.200,7.200,0.300
2119,3502,3,0,7,7320,fa5171999476382a,1321.000,3.400,8.400,0.300
2120,3503,4,0,7,7320,fa5171999476382a,1276.200,3.700,7.900,0.100
2121,3504,5,0,7,7320,fa5171999476382a,1212.800,4.300,7.800,0.100
2122,3505,6,0,7,7320,fa5171999476382a,1277.800,4.200,10.300,0.100
2123,3506,7,0,7,7320,fa5171999476382a,1235.300,4.900,8.300,0.300
2124,3507,8,0,7,7320,fa5171999476382a,1253.100,4.700,21.400,0.300
2125,3508,9,0,7,7320,fa5171999476382a,1401.900,5.200,7.800,0.200
2126,3509,10,0,7,7320,fa5171999476382a,1218.700,3.300,7.600,0.300
2127,3510,11,0,7,7320,fa5171999476382a,1235.100,4.600,8.900,0.200
2128,3511,12,0,7,7320,fa5171999476382a,1218.100,3.400,7.400,0.200
2129,3512,13,0,7,7320,fa5171999476382a,1219.700,3.900,7.800,0.300
2130,3513,14,0,7,7320,fa5171999476382a,1310.600,4.100,10.500,0.300
2131,3514,15,0,7,7320,fa5171999476382a,1427.900,3.600,10.700,0.200
2132,3515,16,0,7,7320,fa5171999476382a,1503.200,4.300,8.700,0.400
2133,3516,17,0,7,7320,fa5171999476382a,1246.300,3.600,8.400,0.300
2134,3517,18,0,7,7320,fa5171999476382a,1218.300,3.300,9.300,0.200
2135,3518,19,0,7,7320,fa5171999476382a,1376.200,4.600,9.300,0.200
2136,3519,20,0,7,7320,fa5171999476382a,1310.200,4.100,10.000,0.200
2137,3520,21,0,7,7320,fa5171999476382a,1228.900,3.300,8.500,0.100
2138,3521,22,0,7,7320,fa5171999476382a,1246.600,5.000,10.300,0.100
2139,3522,23,0,7,7320,fa5171999476382a,1200.900,3.100,9.200,0.400
2140,3523,24,0,7,7320,fa5171999476382a,1361.600,3.400,8.800,0.200
2141,3524,25,0,7,7320,fa5171999476382a,1344.300,4.300,8.700,0.100
2142,3525,26,0,7,7320,fa5171999476382a,1226.900,5.100,9.700,0.200
2143,3526,27,0,7,7320,fa5171999476382a,1420.400,3.700,9.300,0.200
2144,3527,28,0,7,7320,fa5171999476382a,1324.600,4.100,8.700,0.200
2145,3528,29,0,7,7320,fa5171999476382a,1217.700,4.700,8.900,0.200
2146,3529,30,0,7,7320,fa5171999476382a,1222.700,3.800,8.100,0.300
2147,3530,31,0,7,7320,fa5171999476382a,1249.700,3.100,9.200,0.200
2148,3531,32,0,7,7320,fa5171999476382a,1199.100,3.400,8.900,0.200
