scene,frame,generation,pages,palettes,bytes,hash,decode_us,upload_us,snapshot_us
2112,3501,1,4096,26,16820528,036316ae6098f1fa,22880.400,2225.400,0.200
2113,3502,2,3,26,39228,20027663fcbd863f,47.000,197.900,0.100
2114,3503,3,3,26,39228,79f92d81e5cf2ba8,47.100,148.300,0.100
2115,3504,4,3,26,39228,bf1718d956283871,48.700,186.100,0.100
2116,3505,5,3,26,39228,b24842c0fdfb55ae,54.100,152.300,0.100
2117,3506,6,3,26,39228,f4f3e60e04003aed,45.800,159.500,0.200
2118,3507,7,3,26,39228,5aaf1002751accf7,47.800,189.500,0.200
2119,3508,8,3,26,39228,d533144cbdc03db4,48.400,145.100,0.100
2120,3509,9,3,26,39228,a353428549d43903,49.300,148.800,0.100
2121,3510,10,3,26,39228,0c791df796e26c21,61.700,190.700,0.200
2122,3512,11,3,26,39228,ab66c0182d488934,47.400,218.200,0.100
2123,3513,12,3,26,39228,0374ddd735e2bbcb,46.900,183.300,0.100
2124,3514,13,3,26,39228,6331d7c241b903bd,72.900,198.900,0.200
2125,3515,14,3,26,39228,0bfdb813078f9da8,46.000,191.200,0.200
2126,3516,15,3,26,39228,2a1910caf8c7bbf2,52.200,228.000,0.400
2127,3517,16,3,27,40260,4651091382f27ee0,51.500,156.300,0.400
2128,3518,17,3,27,40260,471f219f48c642fa,49.300,184.600,0.100
2129,3519,18,3,27,40260,8ed3abf422c18919,50.100,189.400,0.200
2130,3520,19,3,27,40260,9fd394eb479a8f62,48.000,135.900,0.100
2131,3521,20,3,27,40260,de5654a7d145e9c2,49.400,233.700,0.400
2132,3522,21,3,27,40260,3daf215794d23a08,49.000,144.600,0.100
2133,3523,22,3,27,40260,ce482b4cc3e741fa,55.100,176.500,0.100
2134,3524,23,3,26,39228,728d0c06456d21dc,47.100,143.600,0.100
2135,3525,24,3,26,39228,3aede842f8ac66ea,53.100,206.700,0.300
2136,3526,25,3,26,39228,a072b766141503fe,46.900,199.200,0.500
2137,3527,26,3,26,39228,cccc80a8012f2ca5,55.100,211.400,0.100
2138,3528,27,3,26,39228,a5ffa8a7c5d0c36d,47.100,158.500,0.200
2139,3529,28,3,26,39228,7677570d3057ed54,58.000,190.800,0.100
2140,3530,29,3,26,39228,f92eb28126c490f6,53.600,178.200,0.100
2141,3531,30,3,26,39228,2733c895a1b29862,48.300,212.700,0.400
2142,3532,31,3,26,39228,d39d5dad4bbf93aa,47.300,166.000,0.100
2143,3533,32,3,27,40260,5434e9eb4e8239ca,50.700,248.500,0.200
2144,3534,33,3,27,40260,382e16dde06f17f6,53.600,211.600,0.100
2145,3535,34,3,27,40260,57cba875ca4e49a4,49.700,197.300,0.300
2146,3536,35,3,26,39228,228150f39e07d2e3,70.000,200.500,0.300
2147,3537,36,3,26,39228,84b884e5cec89c39,49.700,159.900,0.500
2148,3538,37,3,26,39228,21ba231c14e8e9b0,58.500,312.400,0.300
2149,3539,38,3,26,39228,11121224a985655f,50.100,224.700,0.400
2150,3540,39,3,26,39228,c203f9a64f4665a1,56.500,272.600,0.100
2151,3542,40,3,26,39228,0947db6512e8daf1,49.800,153.700,0.100
2152,3543,41,3,26,39228,d37326a963392cec,48.000,150.600,0.200
2153,3544,42,3,26,39228,0a5e280d58a49eb8,51.900,150.600,0.200
2154,3545,43,3,26,39228,155cea9a419f677a,48.100,186.700,0.100
2155,3546,44,3,25,38196,8017b8f960ccbc06,47.300,155.900,0.100
2156,3547,45,3,25,38196,e4ed3bc93a4203df,44.200,140.600,0.200
