scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2112,3501,1,4096,26,16820528,036316ae6098f1fa,20357.300,7029.500,1232.200,19749.300
2113,3502,2,3,26,39228,20027663fcbd863f,1456.000,9.400,13.200,11.400
2114,3503,3,3,26,39228,79f92d81e5cf2ba8,1335.000,10.800,11.100,11.500
2115,3504,4,3,26,39228,bf1718d956283871,1682.600,10.000,12.300,12.200
2116,3505,5,3,26,39228,b24842c0fdfb55ae,1482.900,10.500,11.900,11.500
2117,3506,6,3,26,39228,f4f3e60e04003aed,1302.000,10.800,11.100,11.400
2118,3507,7,3,26,39228,5aaf1002751accf7,1387.600,16.800,11.600,11.700
2119,3508,8,3,26,39228,d533144cbdc03db4,1244.900,9.900,11.600,11.300
2120,3509,9,3,26,39228,a353428549d43903,1771.400,10.600,12.100,12.100
2121,3510,10,3,26,39228,0c791df796e26c21,1377.800,11.100,11.500,12.100
2122,3512,11,3,26,39228,ab66c0182d488934,1274.800,9.800,11.900,11.400
2123,3513,12,3,26,39228,0374ddd735e2bbcb,1753.900,11.300,12.600,12.100
2124,3514,13,3,26,39228,6331d7c241b903bd,1405.700,10.700,12.500,11.500
2125,3515,14,3,26,39228,0bfdb813078f9da8,1277.200,10.500,10.600,11.900
2126,3516,15,3,26,39228,2a1910caf8c7bbf2,1402.800,9.700,12.200,11.600
2127,3517,16,3,27,40260,4651091382f27ee0,1286.500,11.400,10.700,11.300
2128,3518,17,3,27,40260,471f219f48c642fa,1238.800,9.200,11.900,11.700
2129,3519,18,3,27,40260,8ed3abf422c18919,1491.100,13.200,12.400,11.400
2130,3520,19,3,27,40260,9fd394eb479a8f62,1242.100,10.200,10.000,11.500
2131,3521,20,3,27,40260,de5654a7d145e9c2,1268.800,10.100,11.200,11.300
2132,3522,21,3,27,40260,3daf215794d23a08,1366.500,10.500,11.300,11.500
2133,3523,22,3,27,40260,ce482b4cc3e741fa,1259.500,9.500,11.400,11.300
2134,3524,23,3,26,39228,728d0c06456d21dc,1313.700,10.900,12.100,11.400
2135,3525,24,3,26,39228,3aede842f8ac66ea,1375.900,12.400,12.100,11.600
2136,3526,25,3,26,39228,a072b766141503fe,1589.000,10.200,11.600,11.500
2137,3527,26,3,26,39228,cccc80a8012f2ca5,1839.400,10.700,13.000,12.000
