frame,cpu_frame,cpu_time,device_time,multiplier,sources,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,scene,scene_frame,scene_time,bounds,culled_bounds,materials_us
3501,3501,61.293801432720,61.293805532720,3,4286,717,5349,5245,a6500f9d99151946,1112.200,3693.100,1189.200,1.000,0,2112,3501,61.293717199387,1,566,48895.800
3502,3502,61.311303899387,61.311307999387,3,4286,716,5338,5226,14aaf09c7dbb2f47,941.900,3737.300,1183.900,0.600,0,2113,3502,61.311219666054,1,566,1498.800
3503,3503,61.328806699387,61.328810799387,3,4286,716,5328,5215,03d3cc2ae9f7adea,944.700,3751.200,1186.800,0.500,0,2114,3503,61.328722466053,1,564,1376.700
3504,3504,61.346308866053,61.346312966053,3,4286,713,5299,5186,2786b3194c5ae447,934.600,3771.700,1189.400,0.400,0,2115,3504,61.346224632720,1,565,1726.000
3505,3505,61.363814566053,61.363818666053,3,4286,712,5291,5159,48c66d9916e86eff,951.200,3804.700,1236.600,1.000,0,2116,3505,61.363727166053,1,565,1525.800
3506,3506,61.381320932720,61.381325032720,3,4286,710,5286,5144,f19c8c9196475f94,1050.600,3768.300,1171.400,0.600,0,2117,3506,61.381229532720,1,565,1343.200
3507,3507,61.398823466053,61.398827566053,3,4286,707,5269,5123,bc860010d444839f,962.900,3774.800,1172.900,0.500,0,2118,3507,61.398732066053,1,564,1436.100
3508,3508,61.416327966052,61.416332066053,3,4286,704,5262,5101,97410e3969d3b5c9,951.000,3595.700,1171.400,0.500,0,2119,3508,61.416234566053,1,564,1285.400
3509,3509,61.433830332719,61.433834432719,3,4286,700,5228,5076,c819fb5a6e51de4b,944.000,3654.200,1168.100,0.600,0,2120,3509,61.433736932719,1,566,1814.800
3510,3510,61.451334932719,61.451339032719,3,4286,698,5211,5052,b4bce45fa57dbfde,945.800,3577.700,1536.400,0.500,0,2121,3510,61.451239532719,1,566,1420.300
3512,3512,61.486341832718,61.486345932718,3,4286,693,5154,4997,8143b8b4c721efe0,945.000,3720.900,1166.800,0.600,0,2122,3512,61.486244432718,1,564,1316.600
3513,3513,61.503844366052,61.503848466052,3,4286,692,5132,4968,fa598b928055576e,954.000,3629.000,1151.600,0.700,0,2123,3513,61.503746966052,1,561,1800.100
3514,3514,61.521346732718,61.521350832718,3,4286,686,5058,4942,399f2a933c769a0c,938.800,3589.500,1128.400,0.600,0,2124,3514,61.521249332718,1,563,1450.300
3515,3515,61.538846932718,61.538851032718,3,4286,558,3946,3814,1d41b42950771437,967.600,3158.900,883.100,0.600,0,2125,3515,61.538751866051,1,563,1318.400
3516,3516,61.556349399384,61.556353499384,3,4286,556,3927,3786,20614d601dfeb886,1120.900,3334.200,870.200,0.400,0,2126,3516,61.556254332718,1,563,1443.900
3517,3517,61.573787232718,61.573799799384,3,4286,551,3926,3756,feb3ed395519c576,968.000,3191.600,902.400,0.500,0,2127,3517,61.573756832718,1,564,1328.600
3518,3518,61.591289599384,61.591302266051,3,4286,548,3916,3725,a2b6a0e62733aed7,1103.500,3396.000,869.200,0.300,0,2128,3518,61.591259199384,1,564,1278.700
3519,3519,61.608839132717,61.608843232717,3,4286,543,3948,3700,d32872b732dd48ae,960.800,3057.100,886.200,0.800,0,2129,3519,61.608762066051,1,564,1538.800
3520,3520,61.626294566050,61.626307232717,3,4286,538,3838,3674,86edc0df935b616e,971.800,2915.000,850.500,0.900,0,2130,3520,61.626264166050,1,567,1281.400
3521,3521,61.643843732717,61.643847832717,3,4286,538,3848,3653,ffb0e6b0510cc224,953.600,2973.800,863.400,0.600,0,2131,3521,61.643766666050,1,567,1309.100
3522,3522,61.661346232717,61.661350332717,3,4286,535,3827,3623,fe4e62303b7da852,960.500,3258.200,847.500,0.500,0,2132,3522,61.661269166050,1,568,1407.500
3523,3523,61.678848666050,61.678852766050,3,4286,531,3774,3593,4eba1c05ca642a0b,1077.700,3245.200,849.900,0.400,0,2133,3523,61.678771599383,1,568,1299.800
3524,3524,61.696351199383,61.696355299383,3,4286,528,3746,3570,f766265fc81f6a9b,974.600,3026.800,866.900,1.100,0,2134,3524,61.696274132716,1,570,1356.600
3525,3525,61.713855899383,61.713859999383,3,4286,528,3755,3552,0a5e99605b9dfb50,1097.900,3357.900,832.600,0.500,0,2135,3525,61.713776499383,1,570,1421.300
3526,3526,61.731358332716,61.731362432716,3,4286,526,3723,3527,5eea1b8ac0ec46de,1316.700,3116.800,825.300,1.000,0,2136,3526,61.731278932716,1,572,1631.200
3527,3527,61.748861266049,61.748865366049,3,4286,521,3678,3507,8dd7de09f0bc8a5a,1047.000,3027.100,973.500,0.800,0,2137,3527,61.748781866049,1,574,1884.900
3528,3528,61.766365432716,61.766369532716,3,4286,519,3664,3486,09e685f516f69b0d,1097.600,3046.400,811.400,0.500,0,2138,3528,61.766284032716,1,576,1299.900
3529,3529,61.783867866049,61.783871966049,3,4286,517,3652,3467,20780e9b6ede92e6,1066.600,2962.600,808.500,0.500,0,2139,3529,61.783786466049,1,578,1302.600
