scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2112,3501,1,4096,26,16820528,036316ae6098f1fa,23219.300,8800.800,1110.800,20301.800
2113,3502,2,3,26,39228,20027663fcbd863f,1283.000,9.500,11.200,11.700
2114,3503,3,3,26,39228,79f92d81e5cf2ba8,1371.700,9.900,11.400,11.900
2115,3504,4,3,26,39228,bf1718d956283871,1268.500,10.100,11.900,11.900
2116,3505,5,3,26,39228,b24842c0fdfb55ae,1391.500,11.500,12.200,12.700
2117,3506,6,3,26,39228,f4f3e60e04003aed,1905.000,14.800,17.400,13.100
2118,3507,7,3,26,39228,5aaf1002751accf7,1402.600,12.100,12.700,11.400
2119,3508,8,3,26,39228,d533144cbdc03db4,1429.300,10.700,11.500,11.400
2120,3509,9,3,26,39228,a353428549d43903,1264.200,9.500,11.100,11.300
2121,3510,10,3,26,39228,0c791df796e26c21,1345.000,11.000,14.000,12.100
2122,3512,11,3,26,39228,ab66c0182d488934,1634.600,9.700,11.800,11.400
2123,3513,12,3,26,39228,0374ddd735e2bbcb,1256.700,9.700,10.500,11.200
2124,3514,13,3,26,39228,6331d7c241b903bd,1383.600,10.300,11.900,11.700
2125,3515,14,3,26,39228,0bfdb813078f9da8,1342.100,9.400,11.000,11.500
2126,3516,15,3,26,39228,2a1910caf8c7bbf2,1315.100,9.800,11.900,11.400
2127,3517,16,3,27,40260,4651091382f27ee0,1277.100,10.700,12.800,11.600
2128,3518,17,3,27,40260,471f219f48c642fa,1254.000,9.400,11.800,11.400
2129,3519,18,3,27,40260,8ed3abf422c18919,1257.900,9.700,15.500,12.200
2130,3520,19,3,27,40260,9fd394eb479a8f62,1324.400,11.000,11.600,11.300
2131,3521,20,3,27,40260,de5654a7d145e9c2,1512.600,13.000,12.500,11.800
2132,3522,21,3,27,40260,3daf215794d23a08,1481.500,11.100,12.500,11.900
2133,3523,22,3,27,40260,ce482b4cc3e741fa,1710.300,11.400,12.800,11.600
2134,3524,23,3,26,39228,728d0c06456d21dc,1509.000,10.500,23.400,11.900
2135,3525,24,3,26,39228,3aede842f8ac66ea,1265.900,10.000,10.700,11.300
2136,3526,25,3,26,39228,a072b766141503fe,1669.500,11.600,13.000,11.800
2137,3527,26,3,26,39228,cccc80a8012f2ca5,1920.800,12.400,13.100,11.600
2138,3528,27,3,26,39228,a5ffa8a7c5d0c36d,1410.000,9.500,10.900,11.300
2139,3529,28,3,26,39228,7677570d3057ed54,1760.800,11.500,14.400,11.800
2140,3530,29,3,26,39228,f92eb28126c490f6,1329.700,10.400,12.100,11.500
2141,3531,30,3,26,39228,2733c895a1b29862,1287.900,9.000,11.000,12.300
2142,3532,31,3,26,39228,d39d5dad4bbf93aa,1645.100,10.200,13.300,12.000
2143,3533,32,3,27,40260,5434e9eb4e8239ca,1239.200,9.900,10.600,11.400
2144,3534,33,3,27,40260,382e16dde06f17f6,1249.600,10.600,11.300,11.900
2145,3535,34,3,27,40260,57cba875ca4e49a4,1260.200,10.500,10.600,11.800
2146,3536,35,3,26,39228,228150f39e07d2e3,1511.100,12.800,14.100,11.700
2147,3537,36,3,26,39228,84b884e5cec89c39,1311.200,9.900,10.800,12.600
2148,3538,37,3,26,39228,21ba231c14e8e9b0,1249.600,9.100,11.500,11.400
2149,3539,38,3,26,39228,11121224a985655f,1381.900,11.000,12.100,11.500
2150,3540,39,3,26,39228,c203f9a64f4665a1,2101.700,12.900,15.200,12.000
2151,3542,40,3,26,39228,0947db6512e8daf1,1840.300,10.700,12.400,11.600
2152,3543,41,3,26,39228,d37326a963392cec,1420.100,9.400,10.700,11.600
2153,3544,42,3,26,39228,0a5e280d58a49eb8,1260.100,11.900,10.300,12.100
2154,3545,43,3,26,39228,155cea9a419f677a,1619.700,10.100,11.800,11.400
2155,3546,44,3,25,38196,8017b8f960ccbc06,1255.900,9.400,10.600,11.400
2156,3547,45,3,25,38196,e4ed3bc93a4203df,1242.000,9.200,11.400,12.000
