run,frame,generation,stage_us
private-material5072-on3,3501,1,20823.900
private-material5072-on3,3502,2,1286.000
private-material5072-on3,3503,3,1521.700
private-material5072-on3,3504,4,1590.900
private-material5072-on3,3505,5,1286.900
private-material5072-on3,3506,6,1530.000
private-material5072-on3,3507,7,1298.300
private-material5072-on3,3508,8,1572.000
private-material5072-on3,3509,9,1661.000
private-material5072-on3,3510,10,1366.300
private-material5072-on3,3512,11,1273.700
private-material5072-on3,3513,12,1731.100
private-material5072-on3,3514,13,1284.100
private-material5072-on3,3515,14,1354.300
private-material5072-on3,3516,15,1356.800
private-material5072-on3,3517,16,1436.300
private-material5072-on3,3518,17,1316.800
private-material5072-on3,3519,18,1256.300
private-material5072-on3,3520,19,1260.300
private-material5072-on3,3521,20,1245.500
private-material5072-on3,3522,21,1313.900
private-material5072-on3,3523,22,1308.200
private-material5072-on3,3524,23,1504.700
private-material5072-on3,3525,24,1292.500
private-material5072-on3,3526,25,1284.400
private-material5072-on3,3527,26,1273.300
private-material5072-on3,3528,27,1289.600
private-material5072-on3,3529,28,1387.300
private-material5072-on3,3530,29,1386.300
private-material5072-on3,3531,30,1386.400
private-material5072-on3,3532,31,1415.600
private-material5072-on3,3533,32,1269.000
private-material5072-on3,3534,33,1283.300
private-material5072-on3,3535,34,1273.500
private-material5072-on3,3536,35,1269.300
private-material5072-on3,3537,36,1590.500
private-material5072-on3,3538,37,1398.200
private-material5072-on3,3539,38,1241.900
private-material5072-on3,3540,39,1312.000
private-material5072-on3,3542,40,1251.400
private-material5072-on3,3543,41,1250.800
private-material5072-on3,3544,42,1403.700
private-material5072-on3,3545,43,1258.700
private-material5072-on3,3546,44,1293.400
private-material5072-on3,3547,45,1328.400
private-material5072-on3,3548,46,1317.000
private-material5072-on3,3549,47,1537.800
private-material5072-on3,3550,48,1553.100
private-material5072-on3,3551,49,1235.300
private-material5072-on3,3552,50,1294.200
private-material5072-on3,3553,51,2642.200
private-material5072-on3,3554,52,1356.900
private-material5072-on3,3555,53,1259.900
private-material5072-on3,3556,54,1886.500
private-material5072-on3,3557,55,1277.000
private-material5072-on3,3558,56,1505.200
private-material5072-on3,3559,57,1247.800
private-material5072-on3,3560,58,1239.900
private-material5072-on3,3561,59,1338.300
private-material5072-on3,3562,60,1274.600
private-material5072-on3,3563,61,1751.600
private-material5072-on3,3564,62,1248.800
private-material5072-on3,3565,63,1251.200
private-material5072-on3,3567,64,1788.300
private-material5072-on3,3568,65,1280.400
private-material5072-on3,3569,66,1485.200
private-material5072-on3,3570,67,1312.900
private-material5072-on3,3571,68,1469.700
private-material5072-on3,3572,69,1273.100
private-material5072-on3,3573,70,1263.500
private-material5072-on3,3574,71,1737.900
private-material5072-on3,3575,72,1245.900
private-material5072-on3,3576,73,1303.000
private-material5072-on3,3577,74,1608.600
private-material5072-on3,3578,75,1394.700
private-material5072-on3,3579,76,1246.000
private-material5072-on3,3580,77,1314.300
private-material5072-on3,3581,78,1383.300
private-material5072-on3,3582,79,1399.700
private-material5072-on3,3583,80,1346.700
private-material5072-on3,3584,81,1417.300
private-material5072-on3,3585,82,2178.000
private-material5072-on3,3586,83,1383.800
private-material5072-on3,3587,84,1368.300
private-material5072-on3,3588,85,1291.000
