frame,cpu_frame,cpu_time,device_time,base,count,bank,page,multiplier,partial,sources,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,scene,scene_frame,scene_time,bounds,culled_bounds,materials_us,source_cache,depth_mode,depth_tests,depth_verified,depth_skipped
3501,3501,61.293801432720,61.293805532720,79561113,18,0,0,3,0,4286,717,5349,5245,a6500f9d99151946,1202.900,3605.400,1195.100,1.100,0,2112,3501,61.293717199387,1,566,46470.500,1,1,3519,0,2236
3502,3502,61.311303899387,61.311307999387,79561113,18,0,400,3,0,4286,716,5338,5226,14aaf09c7dbb2f47,61.900,3555.800,1183.100,0.400,0,2113,3502,61.311219666054,1,566,80.500,1,1,3519,0,2237
3503,3503,61.328806699387,61.328810799387,79561113,18,0,0,3,0,4286,716,5328,5215,03d3cc2ae9f7adea,74.400,3556.400,1243.700,0.300,0,2114,3503,61.328722466053,1,564,74.000,1,1,3519,0,2239
3504,3504,61.346308866053,61.346312966053,79561113,18,0,400,3,0,4286,713,5299,5186,2786b3194c5ae447,62.100,3471.500,1174.400,0.300,0,2115,3504,61.346224632720,1,565,71.100,1,1,3519,0,2241
3505,3505,61.363814566053,61.363818666053,79561113,18,0,0,3,0,4286,712,5291,5159,48c66d9916e86eff,68.600,3490.000,1184.000,0.800,0,2116,3505,61.363727166053,1,565,92.200,1,1,3519,0,2242
3506,3506,61.381320932720,61.381325032720,79561113,18,0,400,3,0,4286,710,5286,5144,f19c8c9196475f94,80.300,3489.400,1177.600,0.500,0,2117,3506,61.381229532720,1,565,78.900,1,1,3519,0,2244
3507,3507,61.398823466053,61.398827566053,79561113,18,0,0,3,0,4286,707,5269,5123,bc860010d444839f,65.600,3686.900,1183.200,0.700,0,2118,3507,61.398732066053,1,564,80.600,1,1,3519,0,2248
3508,3508,61.416327966052,61.416332066053,79561113,18,0,400,3,0,4286,704,5262,5101,97410e3969d3b5c9,59.200,3485.900,1166.700,0.400,0,2119,3508,61.416234566053,1,564,73.600,1,1,3519,0,2251
3509,3509,61.433830332719,61.433834432719,79561113,18,0,0,3,0,4286,700,5228,5076,c819fb5a6e51de4b,60.600,3427.900,1158.200,0.200,0,2120,3509,61.433736932719,1,566,69.500,1,1,3519,0,2253
3510,3510,61.451334932719,61.451339032719,79561113,18,0,400,3,0,4286,698,5211,5052,b4bce45fa57dbfde,122.600,3551.300,1165.300,0.300,0,2121,3510,61.451239532719,1,566,78.100,1,1,3519,0,2255
3512,3512,61.486341832718,61.486345932718,79561113,18,0,0,3,0,4286,693,5154,4997,8143b8b4c721efe0,60.500,3413.100,1141.600,0.300,0,2122,3512,61.486244432718,1,564,70.600,1,1,3519,0,2262
